hostname,ip_address
goog-spr1.ra.intel.com
goog-spr2.ra.intel.com
goog-spr3.ra.intel.com
goog-spr4.ra.intel.com
goog-spr5.ra.intel.com
test.ra.intel.com
aws-emr1.ra.intel.com
aws-spr1.ra.intel.com
aws-spr2.ra.intel.com
aws-spr3.ra.intel.com
aws-spr4.ra.intel.com
aws-spr5.ra.intel.com
aws-spr7.ra.intel.com
meta-crater1c.ra.intel.com
meta-crater2a.ra.intel.com
meta-crater2c.ra.intel.com
meta-crater3a.ra.intel.com
meta-crater3c.ra.intel.com
meta-icx1.ra.intel.com
meta-icx2.ra.intel.com
meta-rpl1.ra.intel.com
meta-rpl2.ra.intel.com
meta-spr1.ra.intel.com
meta-spr2.ra.intel.com
meta-spr3.ra.intel.com
meta-spr4.ra.intel.com
meta-spr5.ra.intel.com
meta-spr6.ra.intel.com
meta-spr7.ra.intel.com
meta-spr9.ra.intel.com
s9s1.ra.intel.com
s9s2.ra.intel.com
s9s3.ra.intel.com
s9s4.ra.intel.com
s9s5.ra.intel.com
s9s7.ra.intel.com
s9s8.ra.intel.com
